h,in_sample_r2,oos_r2,rw_r2,corr,n
1,0.47806449834383824,0.4561283951920748,0.31260733166880283,0.6773507002599802,1147
5,0.38753082551285434,0.344528649361877,-0.0742722929776487,0.5980406570589178,1143
22,0.1608049582675578,0.023631751717822613,-1.2963709673691945,0.3207968616283874,1126
