name,n,from,to,med_range,p90_range,med_atr5,on6,on4,on3,max_atr5
SOXL,1147,2022-01-03,2026-07-30,7.097186700767271,12.997405097622266,7.348208280580918,0.7425569176882661,0.9833625218914186,0.9964973730297724,36.87474329872221
SOXS,1148,2022-01-03,2026-07-31,7.159353348729795,12.917999686029953,7.374885349414908,0.7567804024496938,0.9868766404199475,0.9973753280839895,35.131535605171564
UVXY,1148,2022-01-03,2026-07-31,5.783633714241896,12.439982190560995,6.1090962396454245,0.5153105861767279,0.8617672790901137,0.9746281714785652,36.326562642834936
VIXY,1148,2022-01-03,2026-07-31,3.8661731408759668,8.29639312791357,4.072191781209751,0.20559930008748906,0.5161854768153981,0.7839020122484689,24.78085839557868
SVXY,1148,2022-01-03,2026-07-31,1.908879445551857,4.190336302545209,2.0386983047668408,0.019247594050743656,0.08923884514435695,0.20909886264216973,13.355565421439962
SVIX,1088,2022-03-30,2026-07-31,3.656744665553303,7.861733967911294,3.8863885702305465,0.16251154201292706,0.4727608494921514,0.7553093259464451,24.18884437158965
