structure,entry_date,expiration,dte,spot_entry,exit_date,S_exit,exit_kind,k_lo,k_hi,width,width_pct,primary_delta,net,net_pct_width,max_loss_share,pnl_share,ror,win,move_pct,year
bull_call,2022-01-05,2022-02-04,30,64.01,2022-02-04,43.46,expiry,70.0,75.0,5.0,0.07811279487580065,0.4027,-1.536,-0.30720000000000003,1.536,-1.536,-1.0,False,-0.3210435869395407,2022
bull_call,2022-02-07,2022-03-11,32,43.41,2022-03-11,30.69,expiry,49.0,54.0,5.0,0.11518083390923751,0.401,-1.738,-0.3476,1.738,-1.738,-1.0,False,-0.2930200414651001,2022
bull_call,2022-03-14,2022-04-14,31,27.91,2022-04-14,25.610000000000003,expiry,33.0,38.0,5.0,0.17914725904693657,0.3881,-1.256,-0.2512,1.256,-1.256,-1.0,False,-0.08240773916159072,2022
bull_call,2022-04-18,2022-05-20,32,26.98,2022-05-20,20.36,expiry,30.0,35.0,5.0,0.18532246108228317,0.4228,-1.3459999999999999,-0.2692,1.3459999999999999,-1.3459999999999999,-1.0,False,-0.245366938472943,2022
bull_call,2022-05-23,2022-06-24,32,20.630000000000003,2022-06-24,15.81,expiry,24.0,29.0,5.0,0.24236548715462916,0.3814,-1.044,-0.2088,1.044,-1.044,-1.0,False,-0.2336403296170626,2022
bull_call,2022-06-27,2022-07-29,32,15.8,2022-07-29,19.83,expiry,18.0,23.0,5.0,0.3164556962025316,0.3982,-0.954,-0.1908,0.954,0.8759999999999983,0.9182389937106901,True,0.2550632911392403,2022
bull_call,2022-08-09,2022-09-09,31,17.69,2022-09-09,14.65,expiry,20.0,25.0,5.0,0.28264556246466926,0.3941,-0.98,-0.196,0.98,-0.98,-1.0,False,-0.17184850197851897,2022
bull_call,2022-09-12,2022-10-14,32,14.78,2022-10-14,6.930000000000001,expiry,17.0,22.0,5.0,0.33829499323410017,0.3764,-0.816,-0.16319999999999998,0.816,-0.816,-1.0,False,-0.5311231393775371,2022
bull_call,2022-10-17,2022-11-18,32,7.33,2022-11-18,12.49,expiry,9.0,14.0,5.0,0.6821282401091405,0.3773,-0.546,-0.1092,0.546,2.944,5.391941391941391,True,0.703956343792633,2022
bull_call,2022-11-21,2022-12-23,32,11.89,2022-12-23,9.77,expiry,14.0,19.0,5.0,0.42052144659377627,0.3598,-0.682,-0.13640000000000002,0.682,-0.682,-1.0,False,-0.17830109335576116,2022
bull_call,2022-12-27,2023-01-27,31,9.27,2023-01-27,14.98,expiry,10.0,15.0,5.0,0.5393743257820928,0.4607,-0.76,-0.152,0.76,4.220000000000001,5.552631578947369,True,0.61596548004315,2022
bull_call,2023-01-30,2023-03-03,32,13.8,2023-03-03,15.68,expiry,15.0,20.0,5.0,0.36231884057971014,0.4446,-0.9559999999999998,-0.19119999999999998,0.9559999999999998,-0.27600000000000013,-0.2887029288702931,False,0.13623188405797104,2023
bull_call,2023-03-06,2023-04-06,31,15.17,2023-04-06,15.66,expiry,17.0,22.0,5.0,0.3295978905735003,0.3722,-0.766,-0.1532,0.766,-0.766,-1.0,False,0.03230059327620305,2023
bull_call,2023-04-10,2023-05-12,32,16.39,2023-05-12,14.02,expiry,18.0,23.0,5.0,0.3050640634533252,0.415,-0.9459999999999998,-0.18919999999999998,0.9459999999999998,-0.9459999999999998,-1.0,False,-0.1446003660768762,2023
bull_call,2023-05-15,2023-06-16,32,15.11,2023-06-16,25.24,expiry,16.0,21.0,5.0,0.3309066843150232,0.4407,-0.872,-0.1744,0.872,4.128,4.73394495412844,True,0.6704169424222368,2023
bull_call,2023-06-20,2023-07-21,31,24.65,2023-07-21,24.92,expiry,27.0,32.0,5.0,0.20283975659229211,0.385,-0.92,-0.184,0.92,-0.92,-1.0,False,0.010953346855983925,2023
bull_call,2023-07-24,2023-08-25,32,24.9,2023-08-25,20.66,expiry,27.0,32.0,5.0,0.20080321285140562,0.4106,-1.07,-0.21400000000000002,1.07,-1.07,-1.0,False,-0.17028112449799193,2023
bull_call,2023-08-28,2023-09-29,32,21.42,2023-09-29,18.87,expiry,23.0,28.0,5.0,0.23342670401493928,0.4287,-1.05,-0.21000000000000002,1.05,-1.05,-1.0,False,-0.11904761904761907,2023
bull_call,2023-10-02,2023-11-03,32,19.08,2023-11-03,18.380000000000003,expiry,21.0,26.0,5.0,0.2620545073375262,0.3969,-0.9319999999999999,-0.18639999999999998,0.9319999999999999,-0.9319999999999999,-1.0,False,-0.036687631027253476,2023
bull_call,2023-11-06,2023-12-08,32,18.25,2023-12-08,23.700000000000003,expiry,20.0,25.0,5.0,0.273972602739726,0.3825,-0.82,-0.16399999999999998,0.82,2.880000000000003,3.5121951219512235,True,0.2986301369863016,2023
bull_call,2023-12-12,2024-01-12,31,26.65,2024-01-12,28.1,expiry,29.0,34.0,5.0,0.1876172607879925,0.3675,-0.8879999999999999,-0.17759999999999998,0.8879999999999999,-0.8879999999999999,-1.0,False,0.054409005628518026,2023
bull_call,2024-01-16,2024-02-16,31,29.19,2024-02-16,38.33,expiry,32.0,37.0,5.0,0.17129153819801302,0.3772,-0.998,-0.1996,0.998,4.002,4.01002004008016,True,0.3131209318259678,2024
bull_call,2024-02-20,2024-03-22,31,36.42,2024-03-22,46.43,expiry,41.0,46.0,5.0,0.1372872048325096,0.3902,-1.3980000000000001,-0.2796,1.3980000000000001,3.602,2.5765379113018594,True,0.27484898407468417,2024
bull_call,2024-03-25,2024-04-26,32,45.89,2024-04-26,39.8,expiry,51.0,56.0,5.0,0.10895619960775768,0.3958,-1.8459999999999999,-0.3692,1.8459999999999999,-1.8459999999999999,-1.0,False,-0.13270865112224894,2024
bull_call,2024-04-29,2024-05-31,32,40.61,2024-05-31,48.59,expiry,45.0,50.0,5.0,0.12312238364934745,0.412,-1.484,-0.2968,1.484,2.1060000000000034,1.41913746630728,True,0.19650332430435857,2024
bull_call,2024-06-03,2024-07-05,32,48.59,2024-07-05,60.81,expiry,53.0,58.0,5.0,0.10290183165260341,0.4252,-2.574,-0.5147999999999999,2.574,2.426,0.9425019425019426,True,0.2514920765589628,2024
bull_call,2024-07-11,2024-08-09,29,61.99,2024-08-09,31.01,expiry,67.0,72.0,5.0,0.08065817067268914,0.3963,-1.3600000000000003,-0.2720000000000001,1.3600000000000003,-1.3600000000000003,-1.0,False,-0.49975802548798187,2024
bull_call,2024-08-12,2024-09-13,32,31.41,2024-09-13,33.43,expiry,36.0,42.0,6.0,0.19102196752626552,0.4081,-1.43,-0.2383333333333333,1.43,-1.43,-1.0,False,0.06431072906717605,2024
bull_call,2024-09-16,2024-10-18,32,32.160000000000004,2024-10-18,35.27,expiry,36.0,41.0,5.0,0.15547263681592038,0.41582,-1.3519999999999999,-0.2704,1.3519999999999999,-1.3519999999999999,-1.0,False,0.09670398009950243,2024
bull_call,2024-10-21,2024-11-22,32,35.09,2024-11-22,28.49,expiry,40.0,45.0,5.0,0.14249073810202337,0.3851,-1.174,-0.23479999999999998,1.174,-1.174,-1.0,False,-0.18808777429467094,2024
bull_call,2024-11-25,2024-12-27,32,29.33,2024-12-27,29.69,expiry,32.0,37.0,5.0,0.17047391749062393,0.404,-1.142,-0.2284,1.142,-1.142,-1.0,False,0.012274122059324988,2024
bull_call,2024-12-30,2025-01-31,32,27.94,2025-01-31,27.02,expiry,30.0,35.0,5.0,0.17895490336435219,0.4456,-1.342,-0.2684,1.342,-1.342,-1.0,False,-0.032927702219040844,2024
bull_call,2025-02-03,2025-03-07,32,25.61,2025-03-07,20.88,expiry,29.0,34.0,5.0,0.19523623584537292,0.3906,-1.214,-0.2428,1.214,-1.214,-1.0,False,-0.18469347910972278,2025
bull_call,2025-03-10,2025-04-11,32,17.99,2025-04-11,10.23,expiry,21.0,26.0,5.0,0.27793218454697055,0.3997,-1.1179999999999999,-0.22359999999999997,1.1179999999999999,-1.1179999999999999,-1.0,False,-0.4313507504168982,2025
bull_call,2025-04-14,2025-05-16,32,10.47,2025-05-16,18.39,expiry,13.0,18.0,5.0,0.47755491881566375,0.3596,-0.6479999999999999,-0.1296,0.6479999999999999,4.352,6.716049382716051,True,0.7564469914040115,2025
bull_call,2025-05-19,2025-06-20,32,18.06,2025-06-20,21.21,expiry,20.0,25.0,5.0,0.2768549280177187,0.4094,-0.964,-0.1928,0.964,0.24600000000000088,0.25518672199170217,True,0.17441860465116288,2025
bull_call,2025-06-23,2025-07-25,32,21.58,2025-07-25,25.6,expiry,24.0,29.0,5.0,0.23169601482854496,0.3802,-1.076,-0.2152,1.076,0.5240000000000014,0.48698884758364436,True,0.18628359592215027,2025
bull_call,2025-07-28,2025-08-29,32,26.88,2025-08-29,26.04,expiry,29.0,34.0,5.0,0.18601190476190477,0.4211,-1.172,-0.2344,1.172,-1.172,-1.0,False,-0.03125,2025
