entry_date,expiration,dte,spot_entry,S_exp,k_short,k_long,width,width_pct,short_delta,credit,credit_pct_width,max_loss_share,pnl_share,ror,breach,max_loss_hit,win,move_pct,year
2022-01-03,2022-01-14,11,72.10000000000001,64.48,73.0,74.0,1.0,0.013869625520110956,0.4814,0.29800000000000004,0.29800000000000004,0.702,0.29800000000000004,0.4245014245014246,False,False,True,-0.10568654646324549,2022
2022-01-18,2022-02-04,17,55.98,43.46,56.0,57.0,1.0,0.017863522686673815,0.5441,0.28000000000000025,0.28000000000000025,0.7199999999999998,0.28000000000000025,0.3888888888888894,False,False,True,-0.22365130403715605,2022
2022-02-07,2022-02-18,11,43.41,39.63,44.0,45.0,1.0,0.023036166781847504,0.5081,0.3059999999999996,0.3059999999999996,0.6940000000000004,0.3059999999999996,0.4409221902017283,False,False,True,-0.08707671043538345,2022
2022-02-22,2022-03-11,17,38.61,30.69,39.0,40.0,1.0,0.0259000259000259,0.538,0.25999999999999934,0.25999999999999934,0.7400000000000007,0.25999999999999934,0.35135135135135015,False,False,True,-0.20512820512820507,2022
2022-03-14,2022-03-25,11,27.91,42.010000000000005,28.0,29.0,1.0,0.03582945180938732,0.5461,0.3860000000000001,0.3860000000000001,0.6139999999999999,-0.6139999999999999,-1.0,True,True,False,0.5051952705123612,2022
2022-03-28,2022-04-08,11,42.71,28.290000000000003,43.0,44.0,1.0,0.023413720440177945,0.5141,0.3580000000000001,0.3580000000000001,0.6419999999999999,0.3580000000000001,0.5576323987538944,False,False,True,-0.3376258487473659,2022
2022-04-11,2022-04-22,11,26.49,24.450000000000003,27.0,28.0,1.0,0.03775009437523594,0.5047,0.3619999999999999,0.3619999999999999,0.6380000000000001,0.3619999999999999,0.5673981191222568,False,False,True,-0.07701019252548114,2022
2022-04-25,2022-05-06,11,25.67,23.35,26.0,27.0,1.0,0.03895597974289053,0.5213,0.23999999999999977,0.23999999999999977,0.7600000000000002,0.23999999999999977,0.3157894736842101,False,False,True,-0.09037787300350608,2022
2022-05-09,2022-05-20,11,19.72,20.36,20.0,21.0,1.0,0.05070993914807303,0.5351,0.3699999999999999,0.3699999999999999,0.6300000000000001,0.010000000000000453,0.01587301587301659,True,False,True,0.032454361054766734,2022
2022-05-23,2022-06-03,11,20.630000000000003,23.93,21.0,22.0,1.0,0.04847309743092583,0.5101,0.3780000000000001,0.3780000000000001,0.6219999999999999,-0.6219999999999999,-1.0,True,True,False,0.15996122152205516,2022
2022-06-06,2022-06-17,11,23.91,13.7,24.0,25.0,1.0,0.04182350480970305,0.5326000000000001,0.3820000000000001,0.3820000000000001,0.6179999999999999,0.3820000000000001,0.6181229773462786,False,False,True,-0.42701798410706826,2022
2022-06-21,2022-07-08,17,14.8,13.91,15.0,16.0,1.0,0.06756756756756756,0.5305,0.3660000000000001,0.3660000000000001,0.6339999999999999,0.3660000000000001,0.5772870662460571,False,False,True,-0.06013513513513513,2022
2022-07-11,2022-07-22,11,12.91,17.650000000000002,13.0,14.0,1.0,0.07745933384972889,0.5299,0.398,0.398,0.602,-0.602,-1.0,True,True,False,0.3671572424477152,2022
2022-07-25,2022-08-05,11,17.3,21.56,18.0,19.0,1.0,0.057803468208092484,0.4594,0.3360000000000001,0.3360000000000001,0.6639999999999999,-0.6639999999999999,-1.0,True,True,False,0.24624277456647392,2022
