dte,eod_cagr,real_cagr,real_dd,eod_dd,r2022,r2023
21,0.1934727526793012,-0.5706523163751944,-0.9848046163830206,-0.8882344831598665,-0.683,-0.432
30,-0.15002137308564256,-0.5110769042279475,-0.9707794110034385,-0.8725319637890363,-0.409,-0.473
45,0.23058839928125185,-0.20984529155619303,-0.812414876571975,-0.6758095347052403,-0.002,-0.388
60,0.1451451861908022,-0.2966842553379997,-0.8482414740854332,-0.5693474550587786,-0.145,-0.304
75,-0.26999337559063863,-0.3650756219045619,-0.9046752981551326,-0.8329428204310452,-0.309,-0.577
90,0.015281791398051636,-0.18507590401708585,-0.7910034754248934,-0.6258014701008432,-0.269,-0.393
120,0.43647847385829697,0.11173267449215274,-0.4585002782351911,-0.36479768477137986,0.093,-0.281
150,0.16757347099213193,-0.03145215540760793,-0.44793589999999994,-0.41097400000000006,-0.236,-0.162
