tenor,short_rule,short_param,width,trades,win_rate,breach_rate,maxloss_rate,avg_credit_pct_width,mean_ror,median_ror,total_ror,mean_pnl_share,worst_ror,best_ror,frac10_end,frac10_cagr,frac10_maxdd,full_risk_ruined,full_risk_ruin_trade
two_week,delta,0.1,3,98,0.8877551020408163,0.11224489795918367,0.01020408163265306,0.026020150484436205,-0.01704582181207189,0.023681391060962315,-1.6704905375830452,-0.09604081632653064,-1.0,0.05189340813464237,83953.60000000003,-0.03820494816334108,-0.1735910197863091,True,5
weekly,otm_step,3.0,5,162,0.7654320987654321,0.2777777777777778,0.05555555555555555,0.11637867826617827,-0.02237066298025083,0.07365301157710105,-3.6240474028006346,0.011839506172839272,-1.0,0.42045454545454547,63526.99999999988,-0.09627612011884001,-0.5284043510264178,True,8
two_week,delta,0.1,5,85,0.8823529411764706,0.11764705882352941,0.011764705882352941,0.02089785703980589,-0.03123270357427816,0.021659174499387007,-2.6547798038136436,-0.21120000000000005,-1.0,0.0382059800664452,76111.39999999994,-0.05929908252826277,-0.2496737325001983,True,81
weekly,otm_step,2.0,5,171,0.6900584795321637,0.3391812865497076,0.07017543859649122,0.15651754385964914,-0.03135080386357711,0.09649122807017545,-5.360987460671685,-0.03146198830409387,-1.0,0.5087507543753772,50469.199999999866,-0.14150298280830886,-0.6403134303207334,True,8
weekly,delta,0.1,3,178,0.8820224719101124,0.1404494382022472,0.028089887640449437,0.030017936183666518,-0.03244262780413853,0.028806584362139922,-5.774787749136658,-0.12474157303370793,-1.0,0.05485232067510549,54461.19999999997,-0.1268690726722147,-0.47820089534990073,True,8
monthly,delta,0.1,3,39,0.8974358974358975,0.10256410256410256,0.02564102564102564,0.025519761435146053,-0.034845291733491636,0.027397260273972605,-1.3589663776061738,-0.3656410256410262,-1.0,0.04529616724738677,87033.4,-0.031555416635529854,-0.15806774276554714,True,14
weekly,delta,0.15,3,190,0.8315789473684211,0.19473684210526315,0.03684210526315789,0.05227175438596492,-0.03487229989697301,0.0504201680672269,-6.625736980424873,-0.13587368421052648,-1.0,0.0948905109489051,49544.59999999985,-0.14503742700470912,-0.5432961238719887,True,8
weekly,delta,0.1,5,147,0.8775510204081632,0.1292517006802721,0.02040816326530612,0.023814488896901864,-0.037291544409916964,0.021659174499387007,-5.481857028257794,-0.2621632653061225,-1.0,0.04821802935010483,56862.99999999998,-0.11855178809932498,-0.45359049019550435,True,60
weekly,delta,0.2,5,165,0.8121212121212121,0.19393939393939394,0.04242424242424243,0.062303243867243875,-0.03855896094170783,0.0584250635055038,-6.362228555381792,-0.11587878787878797,-1.0,0.10864745011086475,50377.19999999998,-0.14193264415217155,-0.5462293650823518,True,8
weekly,otm_step,1.0,5,186,0.6236559139784946,0.478494623655914,0.07526881720430108,0.20674229390681,-0.04148815322610546,0.14227195241160645,-7.716796500055615,-0.1232150537634413,-1.0,0.6025641025641025,39249.19999999989,-0.1882351883051272,-0.7248871798230438,True,9
weekly,delta,0.4,5,184,0.6630434782608695,0.42391304347826086,0.05434782608695652,0.1595878170289855,-0.0420456051851549,0.12536580087544996,-7.736391354068501,-0.05256521739130466,-1.0,0.42045454545454547,39208.79999999989,-0.18852507963212972,-0.7006738564473084,True,8
weekly,delta,0.3,5,173,0.7398843930635838,0.2947976878612717,0.057803468208092484,0.11115852463528765,-0.04212254501304357,0.10132158590308371,-7.287200287256537,-0.07573410404624295,-1.0,0.22850122850122853,42688.399999999914,-0.17307953060822145,-0.6447542129377968,True,8
weekly,delta,0.15,5,159,0.8364779874213837,0.1761006289308176,0.03773584905660377,0.04179428571428572,-0.042902358814179135,0.04079933388842631,-6.821475051454483,-0.2717735849056605,-1.0,0.07443699501461234,49668.19999999994,-0.14472536504132938,-0.5368328891540073,True,8
weekly,delta,0.1,2,193,0.8704663212435233,0.14507772020725387,0.04145077720207254,0.034840791333019316,-0.04447430419106212,0.03305785123966942,-8.583540708874988,-0.1252435233160622,-1.0,0.06609808102345417,40514.799999999945,-0.1825707857626041,-0.6113851388090545,True,8
weekly,delta,0.15,2,200,0.825,0.2,0.055,0.06089216666666667,-0.04468775354528605,0.059883710480435684,-8.93755070905721,-0.1335000000000001,-1.0,0.11482720178372353,38790.79999999998,-0.19046335517268254,-0.6460189341077964,True,8
two_week,delta,0.15,5,102,0.8137254901960784,0.19607843137254902,0.0196078431372549,0.03849702866145773,-0.046058109435005816,0.03455415147122891,-4.697927162370593,-0.4156470588235297,-1.0,0.07296137339055793,63549.99999999996,-0.0964831676269331,-0.37899378993789967,True,5
weekly,delta,0.1,1,196,0.8826530612244898,0.12755102040816327,0.0663265306122449,0.04110102040816327,-0.04647294236676761,0.03734439834024897,-9.108696703886451,-0.06851020408163266,-1.0,0.08225108225108224,37849.399999999914,-0.19478225121600423,-0.6348497677381275,True,9
monthly,delta,0.15,5,41,0.8780487804878049,0.14634146341463414,0.04878048780487805,0.040197533306801606,-0.048624694347700705,0.04123281965847564,-1.993612468255729,-0.7072195121951219,-1.0,0.06791969243912858,82023.00000000003,-0.044750075510931575,-0.22434385597267403,True,38
weekly,otm_step,1.0,2,209,0.6267942583732058,0.4449760765550239,0.24401913875598086,0.27671770334928225,-0.048857531719734684,0.2165450121654501,-10.211224129424549,-0.09197129186602886,-1.0,0.7301038062283735,23982.199999999928,-0.27268199729497655,-0.840740766919951,True,2
