structure,tenor,rule,param,width,trades,win_rate,mean_ror,median_ror,total_ror,worst_ror,net_pct_width,frac10_end,frac10_maxdd,full_ruin_trade
bull_put,weekly,delta,0.1,5,142,0.852112676056338,-0.03880420266402986,0.03135331083984666,-5.51019677829224,-1.0,0.03533903070597499,56516.79999999999,-0.49436000000000024,1.0
bull_call,weekly,otm_step,0.0,2,211,0.45023696682464454,-0.03944478891422124,-0.39618644067796577,-8.322850460900682,-1.0,-0.4841279620853081,15978.600000000111,-0.851199999999999,1.0
bull_call,monthly,delta,0.5,1,47,0.425531914893617,-0.0409622993478526,-1.0,-1.9252280693490722,-1.0,-0.6136340425531916,62712.39999999995,-0.4645360000000006,1.0
bull_call,two_week,otm_step,1.0,1,113,0.4336283185840708,-0.0427953712925762,-1.0,-4.83587695606111,-1.0,-0.5336106194690265,31359.999999999905,-0.732552000000001,1.0
bull_put,monthly,delta,0.15,1,47,0.8297872340425532,-0.0436756187188985,0.1389521640091117,-2.0527540797882295,-1.0,0.12730212765957447,77994.79999999996,-0.33632200000000023,1.0
bull_put,weekly,otm_step,1.0,3,200,0.66,-0.04504869005352377,0.1988767795096185,-9.009738010704755,-1.0,0.24574969696969695,32014.60000000007,-0.7301459999999993,1.0
bull_put,monthly,otm_step,1.0,5,47,0.6170212765957447,-0.047716055087659213,0.23213405618531296,-2.242654589119983,-1.0,0.2964189852700491,72695.00000000004,-0.4008379999999999,1.0
bull_put,two_week,otm_step,2.0,1,108,0.6944444444444444,-0.04876464912857243,0.2300141610486438,-5.266582105885822,-1.0,0.24405555555555555,48816.80000000009,-0.5118319999999992,1.0
bull_put,monthly,otm_step,2.0,5,46,0.6739130434782609,-0.049823450041916885,0.20919330810491132,-2.2918787019281766,-1.0,0.2542536231884059,74716.80000000005,-0.3661979999999997,1.0
bull_put,weekly,delta,0.15,5,154,0.7987012987012987,-0.05032743803225415,0.048437873735455106,-7.75042545696714,-1.0,0.05608233766233766,45356.59999999997,-0.5464340000000003,1.0
