structure,entry_date,expiration,dte,spot_entry,exit_date,S_exit,exit_kind,k_lo,k_hi,width,width_pct,primary_delta,net,net_pct_width,max_loss_share,pnl_share,ror,win,move_pct,year
bull_put,2022-01-03,2022-01-14,11,72.10000000000001,2022-01-14,64.48,expiry,67.0,68.0,1.0,0.013869625520110956,-0.3018,0.18000000000000016,0.18000000000000016,0.8199999999999998,-0.8199999999999998,-1.0,False,-0.10568654646324549,2022
bull_put,2022-01-18,2022-02-04,17,55.98,2022-02-04,43.46,expiry,45.0,50.0,5.0,0.08931761343336907,-0.2815,1.1139999999999999,0.22279999999999997,3.886,-3.886,-1.0,False,-0.22365130403715605,2022
bull_put,2022-02-07,2022-02-18,11,43.41,2022-02-18,39.63,expiry,39.0,40.0,1.0,0.023036166781847504,-0.31,0.22199999999999998,0.22199999999999998,0.778,-0.14799999999999747,-0.19023136246786307,False,-0.08707671043538345,2022
bull_put,2022-02-23,2022-03-11,16,35.910000000000004,2022-03-11,30.69,expiry,31.0,32.0,1.0,0.0278473962684489,-0.2952,0.17600000000000016,0.17600000000000016,0.8239999999999998,-0.8239999999999998,-1.0,False,-0.14536340852130336,2022
bull_put,2022-03-14,2022-03-25,11,27.91,2022-03-25,42.010000000000005,expiry,24.0,25.0,1.0,0.03582945180938732,-0.2961,0.2200000000000002,0.2200000000000002,0.7799999999999998,0.2200000000000002,0.2820512820512824,True,0.5051952705123612,2022
bull_put,2022-03-28,2022-04-08,11,42.71,2022-04-08,28.290000000000003,expiry,39.0,40.0,1.0,0.023413720440177945,-0.3187,0.2220000000000002,0.2220000000000002,0.7779999999999998,-0.7779999999999998,-1.0,False,-0.3376258487473659,2022
bull_put,2022-04-11,2022-04-22,11,26.49,2022-04-22,24.450000000000003,expiry,23.0,24.0,1.0,0.03775009437523594,-0.2917,0.246,0.246,0.754,0.246,0.32625994694960214,True,-0.07701019252548114,2022
bull_put,2022-04-25,2022-05-06,11,25.67,2022-05-06,23.35,expiry,22.0,23.0,1.0,0.03895597974289053,-0.2834,0.23399999999999999,0.23399999999999999,0.766,0.23399999999999999,0.3054830287206266,True,-0.09037787300350608,2022
bull_put,2022-05-09,2022-05-20,11,19.72,2022-05-20,20.36,expiry,17.0,18.0,1.0,0.05070993914807303,-0.3248,0.29200000000000004,0.29200000000000004,0.708,0.29200000000000004,0.41242937853107353,True,0.032454361054766734,2022
bull_put,2022-05-23,2022-06-03,11,20.630000000000003,2022-06-03,23.93,expiry,18.0,19.0,1.0,0.04847309743092583,-0.3192,0.2340000000000001,0.2340000000000001,0.7659999999999999,0.2340000000000001,0.30548302872062677,True,0.15996122152205516,2022
bull_put,2022-06-06,2022-06-17,11,23.91,2022-06-17,13.7,expiry,21.0,22.0,1.0,0.04182350480970305,-0.3109,0.2519999999999999,0.2519999999999999,0.7480000000000001,-0.7480000000000001,-1.0,False,-0.42701798410706826,2022
bull_put,2022-06-21,2022-07-08,17,14.8,2022-07-08,13.91,expiry,12.0,13.0,1.0,0.06756756756756756,-0.2694,0.21999999999999997,0.21999999999999997,0.78,0.21999999999999997,0.282051282051282,True,-0.06013513513513513,2022
bull_put,2022-07-11,2022-07-22,11,12.91,2022-07-22,17.650000000000002,expiry,11.0,12.0,1.0,0.07745933384972889,-0.3296,0.2860000000000001,0.2860000000000001,0.714,0.2860000000000001,0.400560224089636,True,0.3671572424477152,2022
bull_put,2022-07-25,2022-08-05,11,17.3,2022-08-05,21.56,expiry,15.0,16.0,1.0,0.057803468208092484,-0.3176,0.2859999999999999,0.2859999999999999,0.7140000000000001,0.2859999999999999,0.4005602240896357,True,0.24624277456647392,2022
bull_put,2022-08-08,2022-08-19,11,20.540000000000003,2022-08-19,19.17,expiry,18.0,19.0,1.0,0.0486854917234664,-0.3033,0.25,0.25,0.75,0.25,0.3333333333333333,True,-0.06669912366114905,2022
bull_put,2022-08-22,2022-09-02,11,17.04,2022-09-02,12.86,expiry,15.0,16.0,1.0,0.05868544600938967,-0.3422,0.30800000000000005,0.30800000000000005,0.692,-0.692,-1.0,False,-0.24530516431924887,2022
bull_put,2022-09-06,2022-09-23,17,12.42,2022-09-23,10.03,expiry,10.0,11.0,1.0,0.08051529790660225,-0.2866,0.258,0.258,0.742,-0.7120000000000006,-0.9595687331536397,False,-0.19243156199677947,2022
bull_put,2022-09-26,2022-10-07,11,9.55,2022-10-07,9.21,expiry,8.0,9.0,1.0,0.10471204188481674,-0.3577,0.32600000000000007,0.32600000000000007,0.6739999999999999,0.32600000000000007,0.4836795252225521,True,-0.03560209424083771,2022
bull_put,2022-10-10,2022-10-21,11,8.280000000000001,2022-10-21,8.58,expiry,6.0,7.0,1.0,0.12077294685990336,-0.2275,0.20600000000000002,0.20600000000000002,0.794,0.20600000000000002,0.2594458438287154,True,0.03623188405797095,2022
bull_put,2022-10-24,2022-11-04,11,8.68,2022-11-04,8.99,expiry,7.0,8.0,1.0,0.1152073732718894,-0.3254,0.28600000000000003,0.28600000000000003,0.714,0.28600000000000003,0.40056022408963593,True,0.03571428571428581,2022
bull_put,2022-11-07,2022-11-18,11,9.59,2022-11-18,12.49,expiry,8.0,9.0,1.0,0.10427528675703858,-0.345,0.30800000000000005,0.30800000000000005,0.692,0.30800000000000005,0.44508670520231225,True,0.30239833159541196,2022
bull_put,2022-11-21,2022-12-02,11,11.89,2022-12-02,13.03,expiry,10.0,11.0,1.0,0.08410428931875526,-0.3006,0.24800000000000003,0.24800000000000003,0.752,0.24800000000000003,0.3297872340425532,True,0.09587888982338089,2022
bull_put,2022-12-05,2022-12-16,11,12.59,2022-12-16,11.11,expiry,10.0,11.0,1.0,0.07942811755361398,-0.2328,0.206,0.206,0.794,0.206,0.25944584382871533,True,-0.11755361397934871,2022
bull_put,2022-12-19,2022-12-30,11,10.69,2022-12-30,9.67,expiry,9.0,10.0,1.0,0.09354536950420955,-0.3165,0.24799999999999997,0.24799999999999997,0.752,-0.0820000000000001,-0.10904255319148949,False,-0.09541627689429366,2022
bull_put,2023-01-03,2023-01-20,17,9.36,2023-01-20,12.79,expiry,7.0,8.0,1.0,0.10683760683760685,-0.2251,0.20000000000000004,0.20000000000000004,0.7999999999999999,0.20000000000000004,0.25000000000000006,True,0.3664529914529915,2023
bull_put,2023-01-23,2023-02-03,11,14.74,2023-02-03,16.93,expiry,13.0,14.0,1.0,0.06784260515603799,-0.3525,0.31,0.31,0.69,0.31,0.44927536231884063,True,0.14857530529172314,2023
bull_put,2023-02-06,2023-02-17,11,16.1,2023-02-17,15.5,expiry,14.0,15.0,1.0,0.06211180124223602,-0.3184,0.2880000000000001,0.2880000000000001,0.712,0.2880000000000001,0.40449438202247207,True,-0.037267080745341685,2023
bull_put,2023-02-21,2023-03-10,17,14.01,2023-03-10,14.05,expiry,12.0,13.0,1.0,0.07137758743754462,-0.3281,0.30200000000000005,0.30200000000000005,0.698,0.30200000000000005,0.4326647564469915,True,0.002855103497501954,2023
bull_put,2023-03-13,2023-03-24,11,14.02,2023-03-24,16.57,expiry,12.0,13.0,1.0,0.07132667617689016,-0.3288,0.28800000000000003,0.28800000000000003,0.712,0.28800000000000003,0.40449438202247195,True,0.18188302425107006,2023
bull_put,2023-03-27,2023-04-06,10,15.97,2023-04-06,15.66,expiry,14.0,15.0,1.0,0.06261740763932373,-0.3225,0.244,0.244,0.756,0.244,0.32275132275132273,True,-0.019411396368190337,2023
bull_put,2023-04-10,2023-04-21,11,16.39,2023-04-21,14.86,expiry,14.0,15.0,1.0,0.06101281269066504,-0.2605,0.21400000000000002,0.21400000000000002,0.786,0.07399999999999946,0.09414758269720032,True,-0.09334960341671761,2023
bull_put,2023-04-24,2023-05-05,11,14.63,2023-05-05,14.47,expiry,13.0,14.0,1.0,0.06835269993164729,-0.3516,0.26600000000000007,0.26600000000000007,0.734,0.26600000000000007,0.3623978201634878,True,-0.010936431989063577,2023
bull_put,2023-05-08,2023-05-19,11,14.65,2023-05-19,17.39,expiry,13.0,14.0,1.0,0.06825938566552901,-0.3376,0.23600000000000002,0.23600000000000002,0.764,0.23600000000000002,0.3089005235602094,True,0.18703071672354943,2023
bull_put,2023-05-22,2023-06-02,11,17.53,2023-06-02,22.02,expiry,15.0,16.0,1.0,0.057045065601825436,-0.2349,0.16,0.16,0.84,0.16,0.1904761904761905,True,0.25613234455219613,2023
bull_put,2023-06-05,2023-06-16,11,20.97,2023-06-16,25.24,expiry,19.0,20.0,1.0,0.047687172150691466,-0.3374,0.2820000000000001,0.2820000000000001,0.718,0.2820000000000001,0.39275766016713104,True,0.20362422508345257,2023
bull_put,2023-06-20,2023-07-07,17,24.65,2023-07-07,22.96,expiry,22.0,23.0,1.0,0.04056795131845842,-0.3062,0.264,0.264,0.736,0.22400000000000087,0.3043478260869577,True,-0.06855983772819463,2023
bull_put,2023-07-10,2023-07-21,11,24.32,2023-07-21,24.92,expiry,22.0,23.0,1.0,0.04111842105263158,-0.3081,0.22000000000000003,0.22000000000000003,0.78,0.22000000000000003,0.2820512820512821,True,0.024671052631578982,2023
bull_put,2023-07-24,2023-08-04,11,24.9,2023-08-04,24.880000000000003,expiry,22.0,23.0,1.0,0.040160642570281124,-0.2621,0.22799999999999998,0.22799999999999998,0.772,0.22799999999999998,0.29533678756476683,True,-0.0008032128514054993,2023
bull_put,2023-08-07,2023-08-18,11,25.66,2023-08-18,20.15,expiry,23.0,24.0,1.0,0.03897116134060795,-0.2834,0.23000000000000004,0.23000000000000004,0.77,-0.77,-1.0,False,-0.2147310989867499,2023
bull_put,2023-08-21,2023-09-01,11,21.880000000000003,2023-09-01,24.02,expiry,19.0,20.0,1.0,0.04570383912248628,-0.2615,0.23199999999999998,0.23199999999999998,0.768,0.23199999999999998,0.3020833333333333,True,0.09780621572212045,2023
bull_put,2023-09-05,2023-09-22,17,24.02,2023-09-22,17.84,expiry,21.0,22.0,1.0,0.041631973355537054,-0.2696,0.238,0.238,0.762,-0.762,-1.0,False,-0.25728559533721895,2023
bull_put,2023-09-25,2023-10-06,11,18.22,2023-10-06,19.47,expiry,16.0,17.0,1.0,0.054884742041712405,-0.2943,0.21400000000000002,0.21400000000000002,0.786,0.21400000000000002,0.27226463104325704,True,0.06860592755214046,2023
bull_put,2023-10-09,2023-10-20,11,19.380000000000003,2023-10-20,16.64,expiry,17.0,18.0,1.0,0.05159958720330236,-0.2845,0.23600000000000004,0.23600000000000004,0.764,-0.764,-1.0,False,-0.14138286893704854,2023
bull_put,2023-10-23,2023-11-03,11,16.39,2023-11-03,18.380000000000003,expiry,14.0,15.0,1.0,0.06101281269066504,-0.2736,0.22600000000000003,0.22600000000000003,0.774,0.22600000000000003,0.2919896640826874,True,0.12141549725442347,2023
bull_put,2023-11-06,2023-11-17,11,18.25,2023-11-17,23.130000000000003,expiry,16.0,17.0,1.0,0.0547945205479452,-0.2721,0.196,0.196,0.804,0.196,0.24378109452736318,True,0.2673972602739727,2023
