date,open,close
2022-01-03,70.65,71.72
2022-01-04,72.7,71.11
2022-01-05,69.475,64.39750000000001
2022-01-06,64.11,
2022-01-07,65.4,59.95
2022-01-10,57.18,59.7
2022-01-11,58.715,62.995000000000005
2022-01-12,65.2,
2022-01-13,67.8,60.01
2022-01-14,59.43,64.33
2022-01-18,60.754999999999995,55.74
2022-01-19,57.35,50.99
2022-01-20,51.785,46.195
2022-01-21,45.18,44.0
2022-01-24,40.95,45.0
2022-01-25,41.5,40.129999999999995
2022-01-26,43.69,
2022-01-27,,36.45
2022-01-28,36.1125,38.19
2022-01-31,38.96,44.629999999999995
2022-02-01,45.21,45.835
2022-02-02,48.25,49.370000000000005
2022-02-03,45.480000000000004,42.64
2022-02-04,42.15,43.435
2022-02-07,43.8925,43.07
2022-02-08,43.125,46.71
2022-02-09,48.262499999999996,50.97
2022-02-10,47.54,46.52
2022-02-11,46.935,39.71
2022-02-14,39.655,39.370000000000005
2022-02-15,42.0275,45.84
2022-02-16,44.26,45.98
2022-02-17,44.09,40.91
2022-02-18,41.144999999999996,39.595
2022-02-22,38.37,38.58
2022-02-23,40.405,35.894999999999996
2022-02-24,32.150000000000006,39.79
2022-02-25,39.79,41.625
2022-02-28,40.48,
2022-03-01,40.5,36.26
2022-03-02,37.6625,40.205
2022-03-03,40.400000000000006,37.48
2022-03-04,36.51,34.705
2022-03-07,34.95,29.59
2022-03-08,29.700000000000003,31.18
2022-03-09,34.155,34.95
2022-03-10,32.51,32.77
2022-03-11,34.105000000000004,30.689999999999998
2022-03-14,30.41,27.82
2022-03-15,28.525,31.45
2022-03-16,33.18,36.052499999999995
2022-03-17,34.785,36.83
2022-03-18,36.35,39.18
2022-03-21,38.755,38.8
2022-03-22,38.8,39.52
2022-03-23,38.51,36.74
2022-03-24,37.77,42.05
2022-03-25,41.9,41.795
2022-03-28,41.29,42.66
2022-03-29,44.93,45.5075
2022-03-30,44.785,41.105
2022-03-31,41.2375,38.78
2022-04-01,38.985,36.1325
2022-04-04,36.56,37.94
2022-04-05,36.9225,32.769999999999996
2022-04-06,30.83,30.67
2022-04-07,30.42,30.52
2022-04-08,29.65,28.21
2022-04-11,27.05,26.45
2022-04-12,28.03,26.245
2022-04-13,26.48,28.005000000000003
2022-04-14,28.615000000000002,25.59
2022-04-18,25.36,26.85
2022-04-19,26.775,28.77
2022-04-20,30.22,
2022-04-21,29.88,26.19
2022-04-22,26.045,24.509999999999998
2022-04-25,24.05,25.64
2022-04-26,24.61,22.46
2022-04-27,21.875,
2022-04-28,23.585,25.447499999999998
